"","unique.ger_neut...1.."
"779","Geknatter"
"780","Gekraechze"
"781","Gekreisch"
"782","Gekreische"
"783","Gekritzel"
"784","Gel"
"785","Gelaechter"
"786","Gelaende"
"787","Gelaender"
"788","Gelaeute"
"789","Gelage"
"790","Gelb"
"791","Geld"
"792","Gelee"
"793","Geleise"
"794","Geleit"
"795","Gelenk"
"796","Geloebnis"
"797","Geluebde"
"798","Gemach"
"799","Gemaelde"
"800","Gemaeuer"
"801","Gemeineigentum"
"802","Gemenge"
"803","Gemetzel"
"804","Gemisch"
"805","Gemuese"
"806","Gemuesebeet"
"807","Gemuet"
"808","Gemunkel"
"809","Gemurmel"
"810","Gen"
"811","Generalkommando"
"812","Genick"
"813","Genie"
"814","Genre"
"815","Genussmittel"
"816","Gepaeck"
"817","Geplaerre"
"818","Geplaetscher"
"819","Geplauder"
"820","Gequassel"
"821","Geraet"
"822","Geraeucherte"
"823","Geraeusch"
"824","Gerassel"
"825","Gerede"
"826","Gericht"
"827","Gerippe"
"828","Geroell"
"829","Geruecht"
"830","Geruempel"
"831","Geruest"
"832","Gesaess"
"833","Gesamtergebnis"
"834","Geschaeft"
"835","Geschehen"
"836","Geschehnis"
"837","Geschenk"
"838","Geschick"
"839","Geschimpfe"
"840","Geschirr"
"841","Geschlecht"
"842","Geschmeichel"
"843","Geschmeide"
"844","Geschnatter"
"845","Geschoepf"
"846","Geschoss"
"847","Geschrei"
"848","Geschuetz"
"849","Geschwader"
"850","Geschwaetz"
"851","Geschwister"
"852","Geschwisterpaar"
"853","Geschwuer"
"854","Gesetz"
"855","Gesetzbuch"
"856","Gesicht"
"857","Gesims"
"858","Gesinde"
"859","Gesindel"
"860","Gespann"
"861","Gespenst"
"862","Gespinst"
"863","Gespraech"
"864","Gestade"
"865","Gestaendnis"
"866","Gestammel"
"867","Gestein"
"868","Gestell"
"869","Gestern"
"870","Gestirn"
"871","Gestoehn"
"872","Gestruepp"
"873","Gestuehl"
"874","Gestuet"
"875","Gesuch"
"876","Gesundheitsamt"
"877","Gesundheitswesen"
"878","Getier"
"879","Getoen"
"880","Getoese"
"881","Getraenk"
"882","Getrampel"
"883","Getreide"
"884","Getriebe"
"885","Gewaechs"
"886","Gewaechshaus"
"887","Gewaesser"
"888","Gewahrsam"
"889","Gewand"
"890","Gewebe"
"891","Gewehr"
"892","Geweih"
"893","Gewerbe"
"894","Gewicht"
"895","Gewinde"
"896","Gewirr"
"897","Gewissen"
"898","Gewitter"
"899","Gewoelbe"
"900","Gewoge"
"901","Gewuehl"
"902","Gewuerz"
"903","Gezappel"
"904","Geziefer"
"905","Gezisch"
"906","Gift"
"907","Giftgas"
"908","Gipfel"
"909","Giro"
"910","Gitter"
"911","Glas"
"912","Glasauge"
"913","Glashaus"
"914","Glatteis"
"915","Glaubensbekenntnis"
"916","Gleichgewicht"
"917","Gleichnis"
"918","Gleis"
"919","Glied"
"920","Gloeckchen"
"921","Glossar"
"922","Glueck"
"923","Glueckskind"
"924","Gluecksspiel"
"925","Glykogen"
"926","Goetterbild"
"927","Goetzenbild"
"928","Gold"
"929","Goldpapier"
"930","Golf"
"931","Gottesgericht"
"932","Gotteshaus"
"933","Gottesurteil"
"934","Grab"
"935","Grabmal"
"936","Gramm"
"937","Gras"
"938","Grau"
"939","Graubrot"
"940","Grauen"
"941","Grausen"
"942","Gravitationsfeld"
"943","Greisenalter"
"944","Grenzgebiet"
"945","Groessenverhaeltnis"
"946","Gros"
"947","Grossformat"
"948","Grosshirn"
"949","Grossmaul"
"950","Grossunternehmen"
"951","Gruen"
"952","Gruendungskapital"
"953","Gruene"
"954","Gruenfutter"
"955","Grundbuch"
"956","Grundeigentum"
"957","Grundgesetz"
"958","Grundnahrungsmittel"
"959","Grundprinzip"
"960","Grundrecht"
"961","Grundstueck"
"962","Grundwasser"
"963","Gruppenbild"
"964","Guckloch"
"965","Guerteltier"
"966","Gummiband"
"967","Gusseisen"
"968","Gut"
"969","Gutachten"
"970","Guthaben"
"971","Gymnasium"
"972","H"
"973","Haar"
"974","Hab"
"975","Haben"
"976","Habit"
"977","Hackbrett"
"978","Hackfleisch"
"979","Hackmesser"
"980","Haehnchen"
"981","Haekchen"
"982","Haendchenhalten"
"983","Haeubchen"
"984","Haeufchen"
"985","Haeuflein"
"986","Haeuschen"
"987","Hakenkreuz"
"988","Halbblut"
"989","Halbdunkel"
"990","Halbfabrikat"
"991","Halbfinale"
"992","Halfter"
"993","Hallenbad"
"994","Hallo"
"995","Halma"
"996","Halogen"
"997","Halsband"
"998","Halstuch"
"999","Halteverbot"
"1000","Hammerwerfen"
"1001","Handelsabkommen"
"1002","Handgelenk"
"1003","Handgemenge"
"1004","Handgepaeck"
"1005","Handikap"
"1006","Handtuch"
"1007","Handumdrehen"
"1008","Handwerk"
"1009","Handwerkszeug"
"1010","Harmonium"
"1011","Hartgeld"
"1012","Hartholz"
"1013","Harz"
"1014","Hasardspiel"
"1015","Haschen"
"1016","Haschisch"
"1017","Haupt"
"1018","Hauptgebaeude"
"1019","Hauptquartier"
"1020","Hauptwort"
"1021","Hauptziel"
"1022","Haus"
"1023","Haushaltsjahr"
"1024","Hausmittel"
"1025","Haustier"
"1026","Heck"
"1027","Heer"
"1028","Heerlager"
"1029","Heft"
"1030","Heftpflaster"
"1031","Heidekraut"
"1032","Heidentum"
"1033","Heil"
"1034","Heiligenbild"
"1035","Heiligtum"
"1036","Heilmittel"
"1037","Heilverfahren"
"1038","Heim"
"1039","Heimatland"
"1040","Heimatmuseum"
"1041","Heimatrecht"
"1042","Heimchen"
"1043","Heimweh"
"1044","Heizoel"
"1045","Hektar"
"1046","Heldenepos"
"1047","Heldentum"
"1048","Helium"
"1049","Helldunkel"
"1050","Helle"
"1051","Hellsehen"
"1052","Hemd"
"1053","Hemdchen"
"1054","Hemmnis"
"1055","Heroin"
"1056","Hertz"
"1057","Herz"
"1058","Herzkranzgefaess"
"1059","Heu"
"1060","Heute"
"1061","Hexagon"
"1062","Hiersein"
"1063","Hilfsmittel"
"1064","Hilfspersonal"
"1065","Hilfszeitwort"
"1066","Himmelbett"
"1067","Himmelreich"
"1068","Hindernis"
"1069","Hindernisrennen"
"1070","Hinterhaupt"
"1071","Hinterland"
"1072","Hinterrad"
"1073","Hirn"
"1074","Hirngespinst"
"1075","Hobby"
"1076","Hoch"
"1077","Hochamt"
"1078","Hochgebirge"
"1079","Hochgefuehl"
"1080","Hochhaus"
"1081","Hochland"
"1082","Hochtal"
"1083","Hochwasser"
"1084","Hochzeitsgeschenk"
"1085","Hoechstmass"
"1086","Hoelzchen"
"1087","Hoelzlein"
"1088","Hoerensagen"
"1089","Hoergeraet"
"1090","Hoernchen"
"1091","Hoerspiel"
"1092","Hoeschen"
"1093","Hoftor"
"1094","Hoheitsgewaesser"
"1095","Hoheitsrecht"
"1096","Hohlmass"
"1097","Hohngelaechter"
"1098","Holz"
"1099","Holzbein"
"1100","Holzhaus"
"1101","Honorar"
"1102","Hormon"
"1103","Horn"
"1104","Hornvieh"
"1105","Horoskop"
"1106","Hospital"
"1107","Hotel"
"1108","Huehnchen"
"1109","Huehnerauge"
"1110","Huehnerei"
"1111","Huehnerfrikassee"
"1112","Huendchen"
"1113","Huetchen"
"1114","Huettenwerk"
"1115","Hufeisen"
"1116","Huhn"
"1117","Hundert"
"1118","Hurra"
"1119","Hutband"
"1120","Hydroxyd"
"1121","Hymen"
"1122","I"
"1123","Ich"
"1124","Ideal"
"1125","Idealbild"
"1126","Idiom"
"1127","Idol"
"1128","Idyll"
"1129","Ikon"
"1130","Image"
"1131","Immergruen"
"1132","Importgeschaeft"
"1133","Imprimatur"
"1134","Inbild"
"1135","Indigoblau"
"1136","Individuum"
"1137","Indiz"
"1138","Industrieprodukt"
"1139","Industrieunternehmen"
"1140","Ineinandergreifen"
"1141","Inferno"
"1142","Informationsmaterial"
"1143","Informationssystem"
"1144","Infrarot"
"1145","Ingenieurbuero"
"1146","Inhaberpapier"
"1147","Inhaltsverzeichnis"
"1148","Initiativrecht"
"1149","Inkasso"
"1150","Inland"
"1151","Inlandeis"
"1152","Innenleben"
"1153","Innenministerium"
"1154","Innere"
"1155","Innerste"
"1156","Insekt"
"1157","Insektizid"
"1158","Inserat"
"1159","Institut"
"1160","Instrument"
"1161","Insulin"
"1162","Interessengebiet"
"1163","Interim"
"1164","Internat"
"1165","Internierungslager"
"1166","Internum"
"1167","Interrogativpronomen"
"1168","Interview"
"1169","Intrigenspiel"
"1170","Inventar"
"1171","Ion"
"1172","Irrenhaus"
"1173","Irrlicht"
"1174","Isotop"
"1175","J"
"1176","Ja"
"1177","Jaeckchen"
"1178","Jaegerlatein"
"1179","Jagdgeschwader"
"1180","Jagdgewehr"
"1181","Jagdrevier"
"1182","Jagen"
"1183","Jahr"
"1184","Jahrbuch"
"1185","Jahresabonnement"
"1186","Jahrhundert"
"1187","Jahrtausend"
"1188","Jahrzehnt"
"1189","Jawort"
"1190","Jenseits"
"1191","Jetzt"
"1192","Joch"
"1193","Jod"
"1194","Journal"
"1195","Jubeljahr"
"1196","Jubilaeum"
"1197","Juckpulver"
"1198","Judentum"
"1199","Judo"
"1200","Jugendamt"
"1201","Junge"
"1202","Jus"
"1203","Justizministerium"
"1204","Juwel"
"1205","K"
"1206","Kabarett"
"1207","Kabel"
"1208","Kabinett"
"1209","Kabriolett"
"1210","Kadmium"
"1211","Kaelbchen"
"1212","Kaemmerchen"
"1213","Kaenguruh"
"1214","Kaennchen"
"1215","Kaertchen"
"1216","Kaesemesser"
"1217","Kaestchen"
"1218","Kaetzchen"
"1219","Kaff"
"1220","Kaffeewasser"
"1221","Kaiserreich"
"1222","Kaisertum"
"1223","Kalb"
"1224","Kalbfell"
"1225","Kalbfleisch"
"1226","Kalenderjahr"
"1227","Kali"
"1228","Kaliber"
"1229","Kalium"
"1230","Kalzium"
"1231","Kamel"
"1232","Kamelhaar"
"1233","Kammerspiel"
"1234","Kammgarn"
"1235","Kampfflugzeug"
"1236","Kanapee"
"1237","Kanin"
"1238","Kaninchen"
"1239","Kanonenboot"
"1240","Kanonenfutter"
"1241","Kanu"
"1242","Kapital"
"1243","Kapitalverbrechen"
"1244","Kapitel"
"1245","Karat"
"1246","Karate"
"1247","Karbid"
"1248","Kardinalskollegium"
"1249","Karree"
"1250","Karteiblatt"
"1251","Kartell"
"1252","Kartenhaus"
"1253","Kartenspiel"
"1254","Karussell"
"1255","Kasino"
"1256","Kasperltheater"
"1257","Kastell"
"1258","Katzenauge"
"1259","Kauderwelsch"
"1260","Kaufhaus"
"1261","Kellerfenster"
"1262","Kennwort"
"1263","Kennzeichen"
"1264","Kerbholz"
"1265","Kerlchen"
"1266","Kerngebiet"
"1267","Kernkraftwerk"
"1268","Kerzenlicht"
"1269","Kettchen"
"1270","Kettenglied"
"1271","Keuschheitsgeluebde"
"1272","Kilo"
"1273","Kilogramm"
"1274","Kilowatt"
"1275","Kind"
"1276","Kindchen"
"1277","Kindergeld"
