"","unique.ger_masc...1.."
"989","Durchschuss"
"990","Durchstoss"
"991","Durchzug"
"992","Durst"
"993","Dusel"
"994","Eber"
"995","Eckball"
"996","Eckpfeiler"
"997","Edelstein"
"998","Efeu"
"999","Egoismus"
"1000","Ehegatte"
"1001","Ehrengast"
"1002","Ehrgeiz"
"1003","Eichbaum"
"1004","Eichentisch"
"1005","Eid"
"1006","Eidbruch"
"1007","Eierlikoer"
"1008","Eifer"
"1009","Eigenbedarf"
"1010","Eigentuemer"
"1011","Eigenwille"
"1012","Eigner"
"1013","Eilbote"
"1014","Eileiter"
"1015","Eimer"
"1016","Einakter"
"1017","Einbau"
"1018","Einbaum"
"1019","Einblick"
"1020","Einbrecher"
"1021","Einbruch"
"1022","Eindringling"
"1023","Eindruck"
"1024","Einer"
"1025","Einfall"
"1026","Einflug"
"1027","Einfluss"
"1028","Einflussbereich"
"1029","Eingang"
"1030","Einhalt"
"1031","Einjaehrige"
"1032","Einkauf"
"1033","Einklang"
"1034","Einlass"
"1035","Einlauf"
"1036","Einmarsch"
"1037","Einsatz"
"1038","Einsatzleiter"
"1039","Einschlag"
"1040","Einschluss"
"1041","Einschub"
"1042","Einschuechterungsversuch"
"1043","Einschuss"
"1044","Einsender"
"1045","Einser"
"1046","Einsiedler"
"1047","Einsitzer"
"1048","Einspaenner"
"1049","Einspruch"
"1050","Einstand"
"1051","Einstich"
"1052","Einsturz"
"1053","Eintausch"
"1054","Eintopf"
"1055","Eintrag"
"1056","Eintritt"
"1057","Einwand"
"1058","Einwanderer"
"1059","Einwohner"
"1060","Einwurf"
"1061","Einzelfall"
"1062","Einzeller"
"1063","Einzug"
"1064","Einzugsbereich"
"1065","Eisbrecher"
"1066","Eisschnellauf"
"1067","Eiszapfen"
"1068","Ekel"
"1069","Eklektizismus"
"1070","Elch"
"1071","Elefant"
"1072","Elektriker"
"1073","Elektroherd"
"1074","Elektromagnet"
"1075","Elektromonteur"
"1076","Elektrotechniker"
"1077","Elf"
"1078","Ellbogen"
"1079","Ellenbogen"
"1080","Emigrant"
"1081","Emir"
"1082","Empfaenger"
"1083","Empfang"
"1084","Empirismus"
"1085","Empoerer"
"1086","Endeffekt"
"1087","Endpunkt"
"1088","Endspurt"
"1089","Endzustand"
"1090","Engel"
"1091","Engpass"
"1092","Enkel"
"1093","Enterhaken"
"1094","Entfuehrer"
"1095","Entscheid"
"1096","Entschluss"
"1097","Entwickler"
"1098","Entwurf"
"1099","Entzug"
"1100","Epiker"
"1101","Epileptiker"
"1102","Epilog"
"1103","Erbauer"
"1104","Erbe"
"1105","Erbfaktor"
"1106","Erbschein"
"1107","Erdapfel"
"1108","Erdball"
"1109","Erdboden"
"1110","Erdrutsch"
"1111","Erdteil"
"1112","Erfinder"
"1113","Erfolg"
"1114","Erforscher"
"1115","Erfuellungsort"
"1116","Erhalt"
"1117","Erholungsaufenthalt"
"1118","Erholungsurlaub"
"1119","Erlass"
"1120","Erloes"
"1121","Erloeser"
"1122","Ernaehrer"
"1123","Erneuer"
"1124","Erneuerer"
"1125","Ernst"
"1126","Ernstfall"
